"Year","geographic_level","country_code","country_name","region_code","Region","LANumber","new_la_code","LA_name","PriNOR","For_3_P","For_1_P","SecNOR","For_3_S","For_1_S","Quan_P_Su","Quan_S_Su","PRI_NoR19","SEC_NoR19","SEC_NoR15","PRI_NoR15","An_P_gro","An_S_gro","NoR_10_to_15_P_percent","NoR_10_to_15_S_percent","NoR_10_to_19_P_percent","NoR_10_to_19_S_percent","NoR_15_to_current_P_percent","NoR_15_to_current_S_percent","NoR_19_to_current_P_percent","NoR_19_to_current_S_percent","Ban_P_gro","Ban_S_gro","Qual_P_1_N","Qual_P_2_N","Qual_P_3_N","Qual_P_4_N","Qual_P_0_N","Qual_P_Prop","Qual_P_1_E","Qual_P_2_E","Qual_P_3_E","Qual_P_4_E","Qual_P_0_E","Qual_S_Prop","KS2Mat_WAA_N","KS2Mat_AA_N","KS2Mat_A_N","KS2Mat_BA_N","KS2Mat_WBA_N","KS2Mat_NR_N","Qual_KS2Mat_Prop","KS2Mat_WAA_E","KS2Mat_AA_E","KS2Mat_A_E","KS2Mat_BA_E","KS2Mat_WBA_E","KS2Mat_NR_E","KS2Read_WAA_N","KS2Read_AA_N","KS2Read_A_N","KS2Read_BA_N","KS2Read_WBA_N","KS2Read_NR_N","Qual_KS2Read_Prop","KS2Read_WAA_E","KS2Read_AA_E","KS2Read_A_E","KS2Read_BA_E","KS2Read_WBA_E","KS2Read_NR_E","Qual_S_1_N","Qual_S_2_N","Qual_S_3_N","Qual_S_4_N","Qual_S_0_N","Qual_KS4_Prop","Qual_S_1_E","Qual_S_2_E","Qual_S_3_E","Qual_S_4_E","Qual_S_0_E","KS4_WAA_N","KS4_AA_N","KS4_A_N","KS4_BA_N","KS4_WBA_N","KS4_NR_N","KS4_WAA_E","KS4_AA_E","KS4_A_E","KS4_BA_E","KS4_WBA_E","KS4_NR_E","PriCap10","SecCap10","PriCap","SecCap","Quan_P_UP","Quan_S_UP","Quan_P_In","Quan_S_In","Quan_P_RP","Quan_S_RP","Quan_P_PP","Quan_S_PP","Pref_P_1_CY","Pref_P_2_CY","Pref_P_3_CY","Pref_S_1_CY","Pref_S_2_CY","Pref_S_3_CY","Pref_P_T3_CY","Pref_S_T3_CY","Pref_P_1_NY","Pref_P_2_NY","Pref_P_3_NY","Pref_S_1_NY","Pref_S_2_NY","Pref_S_3_NY","Pref_P_T3_NY","Pref_S_T3_NY","CPP_P_NS","CPP_P_EP","CPP_P_ET","CPP_S_NS","CPP_S_EP","CPP_S_ET","Projects_P_NS","Projects_P_EP","Projects_P_ET","Projects_S_NS","Projects_S_EP","Projects_S_ET","Cost_P_NS","Cost_P_EP","Cost_P_ET","Cost_S_NS","Cost_S_EP","Cost_S_ET","Places_P_NS","Places_P_EP","Places_P_ET","Places_S_NS","Places_S_EP","Places_S_ET","Funding","NoR_10_to_break_P_percent","NoR_10_to_break_S_percent","NoR_break_to_current_P_percent","NoR_break_to_current_S_percent"
"2023/24","Local authority","E92000001","England","E12000005","West Midlands","332","E08000027","Dudley","26179","-0.024714466","0.00106956","18542","-0.013428972","0.006309999","0.09206215","0.048215418","27144","16974","17383","25614","-0.015623209","0.019846834","0.046537283","-0.097690112","0.109050051","-0.118920322","0.022058249","0.066674337","-0.035551135","0.092376576","0.069622063","-0.037529198","0","0","0","0","0","z","986","22322","4445","630","0","z","0","0","0","0","0","0","z","2923","2163","14388","6127","2782","0","0","0","0","0","0","0","z","1680","1120","18608","4193","2782","0","0","0","0","0","0","z","0","18331","1939","0","0","0","0","0","0","0","0","0","2743","11072","5246","1209","0","27546","20684","28383","20270","6.341824331","8.135175136","837","0","0","260","0","0","92.81332165","4.615834064","0.964066608","85.69543415","9.184481394","1.636315651","98.39322232","96.5162312","92.33283804","5.349182764","0.683506686","83.86491557","10.5065666","1.849370142","98.36552749","96.22085232","23438.98761","19631.8057","9281.650269","28395.61226","27001.53346","10419.50025","70","1204","616","12","144","41","556980662.5","2521430597","197643460.8","320984001","805050720.1","33311142.31","23763","128436","21294","11304","29815","3197","36097576.72","0.109050051","-0.097690112","-0.035551135","0.066674337"
"2023/24","Local authority","E92000001","England","E13000001","Inner London","204","E09000012","Hackney","15708","0.043544691","0.008212376","12067","0.006049557","0.013342173","0.301427841","0.127870547","18379","11886","10563","18360","-0.043799338","-0.022955167","0.157191479","0.359109624","0.158389008","0.529336078","-0.144444444","0.142383792","-0.145328908","0.015227999","-0.009958402","0.552624807","0","0","0","0","0","z","7984","12948","149","0","420","1","0","0","0","0","0","0","z","2653","2880","14006","1332","630","0","0","0","0","0","0","0","z","2682","3119","12111","2134","1455","0","0","185","0","0","0","0","3505","12367","0","0","0","0","0","185","0","0","0","8024","2786","4222","840","0","0","17648","8973","21501","16057","24.96162969","8.781216915","3853","7084","0","0","0","0","93.46299298","3.727714749","0.972447326","73.96209386","14.30505415","6.046931408","98.16315505","94.31407942","84.9752339","8.145294441","3.192074849","77.1990172","12.28501229","5.061425061","96.31260319","94.54545455","31496.1396","26380.23891","12472.21755","38156.60397","36283.31059","14001.20346","70","1204","616","12","144","41","748442765.3","3388172364","265583400.5","431322251.3","1081786905","44761847.48","23763","128436","21294","11304","29815","3197","47830724.96","0.158389008","0.359109624","-0.145328908","0.142383792"
"2023/24","Local authority","E92000001","England","E12000008","South East","931","E10000025","Oxfordshire","52584","-0.013197931","0.023505249","36847","-0.019431704","0.005726382","0.155832272","0.127000477","52388","32501","30141","49904","0.044937624","0.035335305","0.10414408","-0.02247519","0.15910348","0.054063696","0.05370311","0.222487641","0.003741315","0.133718962","0.163440051","0.195012","105","315","0","0","1260","1","4725","55094","2505","0","0","1","0","210","105","0","105","1260","0.5","2962","6840","35897","6883","6896","2846","0","210","210","0","0","1260","0.5","5880","5982","38327","3166","6123","2846","0","403","0","0","600","1","5643","40589","3855","0","0","0","403","0","0","0","600","10194","10437","15276","7538","5142","1500","49549","42694","63269","52560","17.65161453","17.05289193","13720","9866","150","350","763","0","94.54518865","3.729160573","0.906697865","87.77589134","6.791171477","1.88172043","99.18104709","96.44878325","93.98331137","3.937930025","0.92226614","87.47309514","6.615009327","1.707562061","98.84350754","95.79566652","27589.64166","23108.27129","10925.27584","33424.00193","31783.05501","12264.62009","70","1204","616","12","144","41","655612654.9","2967933932","232642823.7","377824917.8","947611785.2","39209990.42","23763","128436","21294","11304","29815","3197","110570567.6","0.15910348","-0.02247519","0.003741315","0.222487641"
"2023/24","Local authority","E92000001","England","E12000004","East Midlands","891","E10000024","Nottinghamshire","65772","0.004317947","0.01532567","47900","0.047473904","0.026075157","0.104494491","0.062822031","66827","41745","39242","62089","0.032658274","0.062818372","0.085889678","-0.105962226","0.168753716","-0.048937188","0.059318076","0.220630957","-0.015787032","0.147442808","0.150302564","0.091290183","0","40","0","0","105","1","4306","64012","4381","0","630","0.310435931","0","0","0","0","40","105","0","6318","11770","39293","5618","3681","6649","0","0","0","0","40","105","0","4337","9761","41634","4446","6502","6649","175","60","0","522","0","1","6538","41866","7468","2295","0","175","582","0","0","0","0","3292","10692","24367","10636","9180","0","63192","58377","74154","59364","10.76678264","8.543898659","10962","987","740","640","705","2250","95.63935634","3.181427343","0.503623633","91.42494177","5.483802668","0.846919331","99.32440732","97.75566377","95.78644661","3.025756439","0.550137534","91.10133104","5.528123658","1.041219407","99.36234059","97.67067411","25148.08046","21063.29153","9958.437267","30466.12565","28970.39528","11179.25548","70","1204","616","12","144","41","597593835.9","2705284911","212054963.2","344389084.4","863752335.2","35740079.77","23763","128436","21294","11304","29815","3197","158649324.6","0.168753716","-0.105962226","-0.015787032","0.220630957"
"2023/24","Local authority","E92000001","England","E12000006","East of England","881","E10000012","Essex","119317","0.002581359","-0.002941743","84324","0.029718704","0.004281106","0.115447384","0.075369535","117534","76239","72885","110631","-0.011741831","0.025176699","0.088887795","-0.071256547","0.156830709","-0.02851791","0.078513256","0.156945874","0.015170078","0.106048086","0.174379921","0.074505906","61","522","0","0","0","1","14036","109669","5680","0","210","1","0","61","255","147","60","60","0.116634799","11829","15985","65116","18094","7760","10811","0","61","249","153","60","60","0.116634799","8636","13257","78090","9390","9411","10811","0","575","0","0","0","0.205217391","12038","72059","16258","1868","2600","118","0","88","0","369","0","8490","11611","33423","30086","17293","3920","114730","94766","129858","105938","8.294444701","10.06626517","15128","11172","370","170","2370","450","91.28735342","5.535241458","1.380658177","84.16294905","8.65226579","2.277529937","98.20325306","95.09274478","90.31308022","5.858249568","1.683846597","83.82177746","8.690731475","2.698355969","97.85517639","95.2108649","24171.45597","20245.29963","9571.70184","29282.97514","27845.33138","10745.10964","70","1204","616","12","144","41","574386308.2","2600225303","203819819","331014751","830208555.2","34352115.5","23763","128436","21294","11304","29815","3197","315448273.1","0.156830709","-0.071256547","0.015170078","0.156945874"
"2023/24","Local authority","E92000001","England","E12000008","South East","825","E06000060","Buckinghamshire","43897","-0.008565506","0.012483769","33474","-0.009111549","-0.000597479","0.084119666","0.044544391","44001","30065","28309","41521","0.017814429","0.018910199","0.083448582","0.018529179","0.148161678","0.081708282","0.057224055","0.182450811","-0.002363583","0.11338766","0.145447903","0.204360653","0","0","30","0","0","0","5417","34899","5774","104","0","1","30","0","0","0","0","0","1","6332","3738","24236","3838","2048","6002","0","0","30","0","0","0","0","5601","5742","25427","1737","1685","6002","60","180","0","0","0","0.625","13656","24745","1751","1906","1080","120","30","90","0","0","0","16186","7298","10496","4796","2682","1680","42388","35521","46824","44248","7.461985307","5.979931296","4436","8727","860","470","210","85","91.08382274","5.7483538","1.690692294","75.82534611","10.603986","4.746691009","98.52286884","91.17602312","89.93933266","5.982473879","2.207617122","77.27830623","10.34059527","3.927585149","98.12942366","91.54648665","27589.64166","23108.27129","10925.27584","33424.00193","31783.05501","12264.62009","70","1204","616","12","144","41","655612654.9","2967933932","232642823.7","377824917.8","947611785.2","39209990.42","23763","128436","21294","11304","29815","3197","128023262.7","0.148161678","0.018529179","-0.002363583","0.182450811"
"2023/24","Local authority","E92000001","England","E12000001","North East","394","E08000024","Sunderland","20994","-0.038249024","0.006382776","15050","0.02358804","0.011827243","0.148671266","0.094424504","21647","14257","13946","21424","-0.002524531","0.040465116","0.062329548","-0.137378611","0.073387217","-0.118141894","-0.020070948","0.079162484","-0.030165843","0.0556218","0.041007587","-0.069091359","0","0","0","0","0","z","2940","21032","525","0","0","1","0","0","0","0","0","0","z","1960","1890","13497","3720","1680","1750","0","0","0","0","0","0","z","1330","945","15882","2385","2205","1750","0","146","0","0","0","0","0","15386","2700","0","0","0","0","0","146","0","0","0","1055","8437","5714","2880","0","23035","19896","23615","19114","12.94516197","12.44114262","580","0","90","50","0","0","96.74916882","2.475064647","0.258588844","97.265625","1.811079545","0.071022727","99.48282231","99.14772727","95.40394973","2.980251346","0.39497307","95.06820567","3.287862889","0.664568031","98.77917415","99.02063659","22218.207","18609.31582","8798.230984","26916.67412","25595.20359","9876.817948","70","1204","616","12","144","41","527971253","2390106086","187349530.6","304266084.3","763120995.1","31576186.98","23763","128436","21294","11304","29815","3197","12238823.73","0.073387217","-0.137378611","-0.030165843","0.079162484"
"2023/24","Local authority","E92000001","England","E12000005","West Midlands","884","E06000019","Herefordshire, County of","12891","0.04344116","0.064618726","9245","0.035586804","0.048783126","0.08974663","0.118627299","13468","8792","8686","12762","0.066635637","0.049756625","0.04804139","-0.069423613","0.106019545","-0.058067281","0.010108134","0.064356436","-0.042842293","0.051524113","0.058635132","-0.009535033","0","30","0","0","0","1","3149","11159","336","0","0","z","0","0","30","0","0","0","0","679","1848","9023","1309","1078","707","0","0","30","0","0","0","0","1301","1967","8667","826","1176","707","0","0","0","0","0","z","1350","6519","3030","0","0","0","0","0","0","0","0","130","600","2874","4245","3050","0","14557","11121","14639","11081","12.54867136","12.58009205","82","0","230","130","35","300","97.1758665","2.374839538","0.385109114","91.29720854","5.801860974","0.821018062","99.93581515","97.92008758","96.78249678","2.50965251","0.193050193","92.45604084","5.501985252","0.567214974","99.48519949","98.52524107","23438.98761","19631.8057","9281.650269","28395.61226","27001.53346","10419.50025","70","1204","616","12","144","41","556980662.5","2521430597","197643460.8","320984001","805050720.1","33311142.31","23763","128436","21294","11304","29815","3197","24246490.52","0.106019545","-0.069423613","-0.042842293","0.064356436"
"2023/24","Local authority","E92000001","England","E12000005","West Midlands","335","E08000030","Walsall","26804","-0.027010894","0.011938517","19382","0.012485812","0.004746672","0.094121894","0.044345843","26594","17372","16332","24729","-0.003096553","0.02868641","0.090007493","-0.064604811","0.172213162","-0.005040092","0.08390958","0.186749939","0.007896518","0.115703431","0.181469564","0.110080183","102","1045","52","0","0","0.956630525","2405","23718","2051","0","0","0.862660944","85","213","652","175","0","74","0.264888889","2882","3465","14784","3384","1282","2377","61","85","728","199","52","74","0.129777778","2835","1860","14846","3634","2622","2377","0","402","64","0","0","0","2200","16798","4116","0","0","0","0","466","0","0","0","2200","1487","8510","7776","2841","300","24986","23108","28953","24000","7.778123165","6.508333333","3967","892","110","310","0","450","95.41653763","3.282750077","0.216785382","76.4969665","10.15563176","3.877604854","98.91607309","90.53020311","95.41312272","3.007290401","0.486026731","75.92788971","12.32767762","3.419936373","98.90643985","91.67550371","23438.98761","19631.8057","9281.650269","28395.61226","27001.53346","10419.50025","70","1204","616","12","144","41","556980662.5","2521430597","197643460.8","320984001","805050720.1","33311142.31","23763","128436","21294","11304","29815","3197","74231495.9","0.172213162","-0.064604811","0.007896518","0.186749939"
"2023/24","Local authority","E92000001","England","E12000002","North West","357","E08000008","Tameside","19790","0.007680647","0.01500758","14955","0.023804748","0.009562019","0.109088481","0.041200407","20976","13371","12558","19589","0.01147044","0.008358409","0.122900545","-0.101909461","0.202407567","-0.043767432","0.010260861","0.190874343","-0.056540809","0.118465335","0.134422471","0.06951298","0","0","0","0","0","z","419","20999","1050","0","0","1","0","0","0","0","0","0","z","3062","1894","13945","2339","1048","180","0","0","0","0","0","0","z","1574","2528","15362","1566","1258","180","300","0","0","0","0","1","1881","7251","5122","1474","0","300","0","0","0","0","0","2025","1631","3000","4320","4752","0","19028","15112","22468","16028","10.61064625","7.412028949","3440","916","0","0","0","0","94.7815534","3.398058252","0.647249191","84.17366947","8.193277311","1.365546218","98.82686084","93.732493","95.39838091","3.067746059","0.51129101","84.57875458","8.131868132","1.648351648","98.97741798","94.35897436","24415.61209","20449.7976","9668.385697","29578.76277","28126.59736","10853.6461","70","1204","616","12","144","41","580188190.1","2626490205","205878605","334358334.4","838594500.2","34699106.57","23763","128436","21294","11304","29815","3197","61754285.86","0.202407567","-0.101909461","-0.056540809","0.190874343"
